file,line,end_line,loc,kind,name,bucket,status,blockers,signals,risk_score,risk,action,phase,priority,rust_blocks
src/masstree/masstree_struct.hh,114,219,106,class,internode,boundary-review,unmigrated,"void*, template, raw-pointer, I/O-or-FFI","I/O-or-FFI, inheritance, raw-pointer, static-state, template, void*",100,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/masstree_struct.hh,223,283,61,class,leafvalue,refactor-then-DSL,unmigrated,raw-pointer,"constructor-overloads, mutable-state, raw-pointer, static-state",42,high,reshape-first,reshape,18,0
src/masstree/masstree_struct.hh,286,615,330,class,leaf,boundary-review,unmigrated,"void*, template, operator-overload, raw-pointer","inheritance, large-body, operator-overload, raw-pointer, static-state, template, void*",100,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/masstree_tcursor.hh,30,98,69,class,unlocked_tcursor,needs-transpiler,unmigrated,"raw-pointer, template","constructor-overloads, raw-pointer, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/masstree_tcursor.hh,101,218,118,class,tcursor,needs-transpiler,unmigrated,"raw-pointer, template","constructor-overloads, raw-pointer, static-state, template",52,high,probe-current-transpiler,probe,0,0
src/masstree/memdebug.hh,25,67,43,struct,memdebug,boundary-review,unmigrated,"void*, raw-pointer","raw-pointer, static-state, void*",57,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/misc.hh,56,86,31,struct,quick_istr,refactor-then-DSL,unmigrated,raw-pointer,"constructor-overloads, raw-pointer",22,medium,reshape-first,reshape,38,0
src/masstree/msgpack.hh,212,217,6,struct,array_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/msgpack.hh,223,228,6,struct,object_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/msgpack.hh,236,344,109,class,unparser,boundary-review,unmigrated,"template, operator-overload, raw-pointer, I/O-or-FFI","I/O-or-FFI, constructor-overloads, operator-overload, raw-pointer, template",77,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/msgpack.hh,347,381,35,class,streaming_parser,refactor-then-DSL,unmigrated,raw-pointer,"nested-type, raw-pointer",20,medium,reshape-first,reshape,40,0
src/masstree/msgpack.hh,384,514,131,class,parser,needs-transpiler,unmigrated,"template, operator-overload, raw-pointer","constructor-overloads, large-body, operator-overload, raw-pointer, template",67,high,probe-current-transpiler,probe,0,0
src/masstree/mtclient.cc,68,80,13,struct,async,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/mtclient.cc,84,97,14,struct,child,refactor-then-DSL,unmigrated,raw-pointer,raw-pointer,12,low,reshape-first,reshape,48,0
src/masstree/mtclient.cc,167,386,220,struct,kvtest_client,boundary-review,unmigrated,"va_list, raw-pointer","large-body, raw-pointer, va_list",62,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/mtclient.cc,771,771,1,struct,timeval,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/mtclient.hh,39,229,191,class,KVConn,boundary-review,unmigrated,"raw-pointer, I/O-or-FFI","I/O-or-FFI, constructor-overloads, large-body, raw-pointer",52,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
